Horario,Comprador,Vendedor_1,Vendedor_2,Vendedor_3
08:30 - 08:45,BOX BRAND,D'CLEO COFFEE,,
08:30 - 08:45,FLOR A FRUTO,CAFÉ AGUA VIVA,CAFÉ ARENILLO,
08:30 - 08:45,CAFÉ MOLINA,CAFÉ VALLE DE LIRIO,DE SOL A SOL,
08:30 - 08:45,REGIONAL S.A.S,CAFÉ MATILDE 1960,DELUXE COFFEE,
08:30 - 08:45,INMERSSO BOUTIQUE,CAFÉ ERMITAÑO,CAFÉ GRANADA,
08:30 - 08:45,COLFRESH COFFEE,CAFÉ MURAL,EL ORGASMO DE LOS SAINOS,LA PATRONA
08:30 - 08:45,PROCOLOMBIA,FINCA LA RIVERA,CAFE ARTE,CAFÉ LA AVANZANTE
08:30 - 08:45,INTERLINK2AMERICAS,CAFE FINCA MI TERRON,CAFE MIS TAITAS,CAFÉ TRADICIÓN NEIRA
08:30 - 08:45,ARMANDO VELÁSQUEZ,CINCO DAMAS,DON HEBER CAFÉ,FINCA EL CASCABEL
08:45 - 09:00,BOX BRAND,LADERAS DEL TAPIAS,RUNA COFFEE,
08:45 - 09:00,INTERLINK2AMERICAS,FINCA EL CASCABEL,LA PATRONA,
08:45 - 09:00,INMERSSO BOUTIQUE,CINCO DAMAS,DON HEBER CAFÉ,
08:45 - 09:00,CAFÉ MOLINA,FINCA LA RIVERA,CAFÉ AGUA VIVA,
08:45 - 09:00,COLFRESH COFFEE,CAFÉ MATILDE 1960,DE SOL A SOL,
08:45 - 09:00,REGIONAL S.A.S,VILLA CLARA IMPORTACIONES Y EXPORTACIONES SAS,ROJO PASIÓN,
08:45 - 09:00,ARMANDO VELÁSQUEZ,CAFÉ VALLE DE LIRIO,DELUXE COFFEE,
08:45 - 09:00,FLOR A FRUTO,SANTA CRUZ DE LAS AGUAS,CAFÉ ERMITAÑO,
08:45 - 09:00,PROCOLOMBIA,D'CLEO COFFEE,EL ORGASMO DE LOS SAINOS,
09:00 - 09:15,INTERLINK2AMERICAS,D'CLEO COFFEE,CAFÉ GRANADA,
09:00 - 09:15,BOX BRAND,CAFÉ MATILDE 1960,SANTA CRUZ DE LAS AGUAS,
09:00 - 09:15,INMERSSO BOUTIQUE,CAFÉ LA AVANZANTE,CAFÉ TRADICIÓN NEIRA,
09:00 - 09:15,CAFÉ MOLINA,EL ORGASMO DE LOS SAINOS,DELUXE COFFEE,
09:00 - 09:15,COLFRESH COFFEE,CAFÉ ERMITAÑO,RUNA COFFEE,
09:00 - 09:15,REGIONAL S.A.S,CAFÉ VALLE DE LIRIO,CAFÉ AGUA VIVA,
09:00 - 09:15,ARMANDO VELÁSQUEZ,LADERAS DEL TAPIAS,DE SOL A SOL,
09:00 - 09:15,FLOR A FRUTO,CAFÉ CAMPOHERMOSO,FINCA LA RIVERA,
09:15 - 09:30,INTERLINK2AMERICAS,SANTA CRUZ DE LAS AGUAS,LADERAS DEL TAPIAS,
09:15 - 09:30,BOX BRAND,CAFE FINCA MI TERRON,DON HEBER CAFÉ,FINCA LA RIVERA
09:15 - 09:30,INMERSSO BOUTIQUE,DELUXE COFFEE,CAFÉ VALLE DE LIRIO,CAFÉ MURAL
09:15 - 09:30,CAFÉ MOLINA,RUNA COFFEE,ROJO PASIÓN,
09:15 - 09:30,ARMANDO VELÁSQUEZ,CAFÉ MATILDE 1960,CAFÉ AGUA VIVA,
09:30 - 09:45,INTERLINK2AMERICAS,SIETE LEONES CAFÉ,CAFÉ MURAL,CAFE ARTE
09:30 - 09:45,BOX BRAND,VILLA CLARA IMPORTACIONES Y EXPORTACIONES SAS,CAFÉ VALLE DE LIRIO,ROJO PASIÓN
09:30 - 09:45,INMERSSO BOUTIQUE,RUNA COFFEE,CAFÉ MATILDE 1960,FINCA LA RIVERA
09:30 - 09:45,REGIONAL S.A.S,EL ORGASMO DE LOS SAINOS,DON HEBER CAFÉ,
09:45 - 10:00,INTERLINK2AMERICAS,CAFE GRANEAO,CAFÉ MATILDE 1960,DON HEBER CAFÉ
09:45 - 10:00,BOX BRAND,FINCA EL CASCABEL,DELUXE COFFEE,CAFÉ MURAL
09:45 - 10:00,INMERSSO BOUTIQUE,LADERAS DEL TAPIAS,ROJO PASIÓN,
09:45 - 10:00,COLFRESH COFFEE,CAFÉ AGUA VIVA,CAFÉ VALLE DE LIRIO,CAFÉ ARENILLO
09:45 - 10:00,REGIONAL S.A.S,FINCA LA RIVERA,CAFE ARTE,
09:45 - 10:00,ARMANDO VELÁSQUEZ,RUNA COFFEE,CAFE FINCA MI TERRON,
10:00 - 10:15,INTERLINK2AMERICAS,FINCA LA RIVERA,DELUXE COFFEE,CAFÉ ARENILLO
10:00 - 10:15,BOX BRAND,CAFÉ GRANADA,CAFÉ AGUA VIVA,CAFÉ TRADICIÓN NEIRA
10:00 - 10:15,FLOR A FRUTO,CAFE FINCA MI TERRON,CAFÉ VALLE DE LIRIO,DE SOL A SOL
10:15 - 10:30,INTERLINK2AMERICAS,VILLA CLARA IMPORTACIONES Y EXPORTACIONES SAS,CAFÉ LA AVANZANTE,
10:15 - 10:30,BOX BRAND,SIETE LEONES CAFÉ,CAFE ARTE,
10:15 - 10:30,NEIRA YORK COFFEE,FINCA LA RIVERA,CAFÉ AGUA VIVA,
