Nombre_Vendedor,Comprador_Preferido
Café ALMA VERDE ,CAFÉ MOLINA
Café ALMA VERDE ,COLFRESH COFFEE
Café ALMA VERDE ,INMERSSO BOUTIQUE
Café Del Tajo,BOX BRAND
Café Del Tajo,PROCOLOMBIA
Café Del Tajo,ENCADENAMIENTOS PRODUCTIVOS
Cervecería Montelargo ,BOX BRAND
Cervecería Montelargo ,NEIRA YORK COFFEE
Cervecería Montelargo ,PROCOLOMBIA
Cervecería Montelargo ,INMERSSO BOUTIQUE
Café Octavio ,BOX BRAND
Café Octavio ,CAFÉ MOLINA
Café Octavio ,INMERSSO BOUTIQUE
Café Octavio ,ENCADENAMIENTOS PRODUCTIVOS
CAFE TAZA COLIBRI,BOX BRAND
CAFE TAZA COLIBRI,PROCOLOMBIA
CAFE TAZA COLIBRI,ORIGEN CALDAS
CAFE TAZA COLIBRI,INMERSSO BOUTIQUE
CAFE TAZA COLIBRI,ENCADENAMIENTOS PRODUCTIVOS
Café Nube ,BOX BRAND
Café Nube ,CAFÉ MOLINA
Café Nube ,COLFRESH COFFEE
Café Nube ,PROCOLOMBIA
Café Nube ,ORIGEN CALDAS
Café Nube ,INMERSSO BOUTIQUE
Café Nube ,ENCADENAMIENTOS PRODUCTIVOS
Cafe azucenas finca la primavera,CAFÉ MOLINA
Cafe azucenas finca la primavera,PROCOLOMBIA
Cafe azucenas finca la primavera,ORIGEN CALDAS
Cafe azucenas finca la primavera,KUNDE - ARMANDO VELÁSQUEZ
Finca El Rubí ,BOX BRAND
Finca El Rubí ,REGIONAL SAS
Finca El Rubí ,ORIGEN CALDAS
Finca El Rubí ,INMERSSO BOUTIQUE
Finca El Rubí ,KUNDE - ARMANDO VELÁSQUEZ
Finca El Rubí ,ENCADENAMIENTOS PRODUCTIVOS
Finca La Estrella,BOX BRAND
Finca La Estrella,CAFÉ MOLINA
Finca La Estrella,NEIRA YORK COFFEE
Finca La Estrella,COLFRESH COFFEE
Quercus Coffee SAS,BOX BRAND
Quercus Coffee SAS,CAFÉ MOLINA
Quercus Coffee SAS,NEIRA YORK COFFEE
Quercus Coffee SAS,COLFRESH COFFEE
Quercus Coffee SAS,PROCOLOMBIA
Quercus Coffee SAS,REGIONAL SAS
Quercus Coffee SAS,ORIGEN CALDAS
Quercus Coffee SAS,INMERSSO BOUTIQUE
Quercus Coffee SAS,KUNDE - ARMANDO VELÁSQUEZ
Café Tradición Premium ,BOX BRAND
Café Tradición Premium ,PROCOLOMBIA
Café Tradición Premium ,ORIGEN CALDAS
Café Tradición Premium ,INMERSSO BOUTIQUE
Affogato ,COFRESH COFFEE
Affogato ,ORIGEN CALDAS
Affogato ,INMERSSO BOUTIQUE
Café ALMA VERDE ,BOX BRAND
Café ALMA VERDE ,CAFÉ MOLINA
Café ALMA VERDE ,COLFRESH COFFEE
Café ALMA VERDE ,INMERSSO BOUTIQUE
WeedNevado SAS,BOX BRAND
WeedNevado SAS,COLFRESH COFFEE
WeedNevado SAS,PROCOLOMBIA
WeedNevado SAS,ORIGEN CALDAS
WeedNevado SAS,INMERSSO BOUTIQUE
WeedNevado SAS,ENCADENAMIENTOS PRODUCTIVOS
Marietta Cafe,BOX BRAND
Marietta Cafe,CAFÉ MOLINA
Marietta Cafe,NEIRA YORK COFFEE
Marietta Cafe,COLFRESH COFFEE
Marietta Cafe,PROCOLOMBIA
Marietta Cafe,ORIGEN CALDAS
Marietta Cafe,INMERSSO BOUTIQUE
Marietta Cafe,ENCADENAMIENTOS PRODUCTIVOS
Marietta Cafe,KUNDE - ARMANDO VELÁSQUEZ
Café deFamilia®,PROCOLOMBIA
Café deFamilia®,ORIGEN CALDAS
Café deFamilia®,ENCADENAMIENTOS PRODUCTIVOS
Leonora Coffee,BOX BRAND
Leonora Coffee,PROCOLOMBIA
Leonora Coffee,INMERSSO BOUTIQUE
Nogales 1800,BOX BRAND
Nogales 1800,CAFÉ MOLINA
Nogales 1800,COLFRESH COFFEE
Nogales 1800,KUNDE - ARMANDO VELÁSQUEZ
Don Marco,BOX BRAND
Don Marco,CAFÉ MOLINA
Don Marco,COLFRESH COFFEE
Don Marco,PROCOLOMBIA
Don Marco,ORIGEN CALDAS
Don Marco,INMERSSO BOUTIQUE
Las Delicias 2,BOX BRAND
Las Delicias 2,CAFÉ MOLINA
Las Delicias 2,NEIRA YORK COFFEE
Las Delicias 2,ORIGEN CALDAS
Las Delicias 2,INMERSSO BOUTIQUE
Finca la Esperanza ,BOX BRAND
Finca la Esperanza ,CAFÉ MOLINA
Finca la Esperanza ,COLFRESH COFFEE
Finca la Esperanza ,REGIONAL SAS
Finca la Esperanza ,KUNDE - ARMANDO VELÁSQUEZ
hotel san antonio ,BOX BRAND
hotel san antonio ,CAFÉ MOLINA
hotel san antonio ,PROCOLOMBIA
hotel san antonio ,REGIONAL SAS
hotel san antonio ,ORIGEN CALDAS
hotel san antonio ,ENCADENAMIENTOS PRODUCTIVOS
La vuelta ,PROCOLOMBIA
La vuelta ,ORIGEN CALDAS
Café Aris ,BOX BRAND
Café Aris ,ORIGEN CALDAS
Café Aris ,INMERSSO BOUTIQUE
Café Las Peñas,BOX BRAND
Café Las Peñas,ORIGEN CALDAS
