Nombre_Vendedor,Comprador_Preferido
CAFÉ AGUA VIVA,INTERLINK2AMERICAS
CAFÉ AGUA VIVA,BOX BRAND
CAFÉ AGUA VIVA,INMERSSO BOUTIQUE
CAFÉ AGUA VIVA,CAFÉ MOLINA
CAFÉ AGUA VIVA,NEIRA YORK COFFEE
CAFÉ AGUA VIVA,COLFRESH COFFEE
CAFÉ AGUA VIVA,REGIONAL S.A.S
CAFÉ AGUA VIVA,FLOR A FRUTO
CAFÉ AGUA VIVA,ENCADENAMIENTOS PRODUCTIVOS -  CAFE AROMAS DEL EJE / CAFÉ GRANEAO.
CAFÉ AGUA VIVA,ARMANDO VELÁSQUEZ
CAFÉ ARENILLO,INTERLINK2AMERICAS
CAFÉ ARENILLO,BOX BRAND
CAFÉ ARENILLO,INMERSSO BOUTIQUE
CAFÉ ARENILLO,COLFRESH COFFEE
CAFÉ ARENILLO,FLOR A FRUTO
CAFÉ CAMPOHERMOSO,NEIRA YORK COFFEE
CAFÉ CAMPOHERMOSO,FLOR A FRUTO
CAFÉ ERMITAÑO,INMERSSO BOUTIQUE
CAFÉ ERMITAÑO,COLFRESH COFFEE
CAFÉ ERMITAÑO,FLOR A FRUTO
CAFÉ GRANADA,INTERLINK2AMERICAS
CAFÉ GRANADA,BOX BRAND
CAFÉ GRANADA,INMERSSO BOUTIQUE
CAFÉ LA AVANZANTE,INMERSSO BOUTIQUE
CAFÉ LA AVANZANTE,NEIRA YORK COFFEE
CAFÉ MATILDE 1960,INTERLINK2AMERICAS
CAFÉ MATILDE 1960,BOX BRAND
CAFÉ MATILDE 1960,INMERSSO BOUTIQUE
CAFÉ MATILDE 1960,COLFRESH COFFEE
CAFÉ MATILDE 1960,REGIONAL S.A.S
CAFÉ MATILDE 1960,ENCADENAMIENTOS PRODUCTIVOS -  CAFE AROMAS DEL EJE / CAFÉ GRANEAO.
CAFÉ MATILDE 1960,ARMANDO VELÁSQUEZ
CAFE FINCA MI TERRON,INTERLINK2AMERICAS
