Vendedor,Total_Citas,Horarios,Compradores,Preferencias_Cumplidas
CAFE FINCA MI TERRON,7,08:30 - 08:45; 08:45 - 09:00; 09:00 - 09:15; 09:15 - 09:30; 09:30 - 09:45; 09:45 - 10:00; 10:00 - 10:15,PROCOLOMBIA; ARMANDO VELÁSQUEZ; REGIONAL S.A.S; BOX BRAND; CAFÉ MOLINA; FLOR A FRUTO; INTERLINK2AMERICAS,4/4
EL ORGASMO DE LOS SAINOS,5,08:30 - 08:45; 09:00 - 09:15; 09:30 - 09:45; 10:00 - 10:15; 10:15 - 10:30,REGIONAL S.A.S; COLFRESH COFFEE; CAFÉ MOLINA; PROCOLOMBIA; BOX BRAND,3/3
CAFÉ ARENILLO,5,08:30 - 08:45; 08:45 - 09:00; 09:00 - 09:15; 10:00 - 10:15; 10:15 - 10:30,INTERLINK2AMERICAS; FLOR A FRUTO; COLFRESH COFFEE; INMERSSO BOUTIQUE; BOX BRAND,5/5
SANTA CRUZ DE LAS AGUAS,3,10:00 - 10:15; 10:15 - 10:30; 10:30 - 10:45,BOX BRAND; INTERLINK2AMERICAS; FLOR A FRUTO,3/3
DON HEBER CAFÉ,5,08:30 - 08:45; 08:45 - 09:00; 09:00 - 09:15; 09:30 - 09:45; 11:15 - 11:30,REGIONAL S.A.S; ARMANDO VELÁSQUEZ; INTERLINK2AMERICAS; INMERSSO BOUTIQUE; BOX BRAND,5/5
CAFÉ TRADICIÓN NEIRA,4,08:45 - 09:00; 09:15 - 09:30; 09:30 - 09:45; 10:45 - 11:00,BOX BRAND; INMERSSO BOUTIQUE; INTERLINK2AMERICAS; ENCADENAMIENTOS PRODUCTIVOS -  CAFE AROMAS DEL EJE / CAFÉ GRANEAO.,4/4
CAFÉ OASIS DE SAMDA,3,08:30 - 08:45; 09:45 - 10:00; 10:30 - 10:45,FLOR A FRUTO; INMERSSO BOUTIQUE; ENCADENAMIENTOS PRODUCTIVOS -  CAFE AROMAS DEL EJE / CAFÉ GRANEAO.,3/3
LA PATRONA,2,09:15 - 09:30; 09:30 - 09:45,INTERLINK2AMERICAS; COLFRESH COFFEE,2/2
FINCA EL CASCABEL,5,08:30 - 08:45; 08:45 - 09:00; 09:30 - 09:45; 10:00 - 10:15; 10:15 - 10:30,ARMANDO VELÁSQUEZ; FLOR A FRUTO; BOX BRAND; INTERLINK2AMERICAS; ENCADENAMIENTOS PRODUCTIVOS -  CAFE AROMAS DEL EJE / CAFÉ GRANEAO.,5/5
CAFÉ ERMITAÑO,3,08:30 - 08:45; 09:45 - 10:00; 10:15 - 10:30,COLFRESH COFFEE; INMERSSO BOUTIQUE; FLOR A FRUTO,3/3
